Id,Label,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Eigenvector Centrality,Seniority,closnesscentrality,betweenesscentrality,clustering,eigencentrality
0,Ackerman  Gary L.,255.0,0,255,0.0,2.6951273E-5,3.0,1.395683453,0,0.30006176,0,6,1.39568345323741,0.0,0.30006176,0.0
1,Akaka  Daniel K.,206.0,0,206,0.0,2.6951273E-5,3.0,1.527577938,0,0.32273266,0,12,1.5275779376498801,0.0,0.32273266,0.0
2,Alexander  Bill,97.0,0,97,0.0,2.6951273E-5,3.0,1.81686747,0,0.31282216,0,16,1.816867469879518,0.0,0.31282216,0.0
3,Anderson  Glenn M.,187.0,2,185,7.479431E-5,2.6951273E-5,3.0,1.5599022,4.061421386,0.3225519,3.34E-04,16,1.5599022004889975,4.061421385545322,0.3225519,3.339054622950868E-4
4,Andrews  Michael,147.0,3,144,9.972575E-5,2.6951273E-5,3.0,1.673913043,29.00131915,0.31446278,5.01E-04,6,1.673913043478261,29.00131914688361,0.31446278,5.008581934426303E-4
5,Annunzio  Frank,120.0,2,118,7.479431E-5,2.6951273E-5,4.0,1.760290557,1.529771804,0.33683473,3.34E-04,16,1.7602905569007263,1.5297718037937171,0.33683473,3.339054622950868E-4
6,Anthony  Beryl  Jr.,105.0,2,103,7.479431E-5,5.3902546E-5,4.0,1.811138015,7.438598808,0.33205128,3.57E-04,10,1.811138014527845,7.438598807764196,0.33205128,3.565102820657269E-4
7,Applegate  Douglas,187.0,4,183,1.2465719E-4,8.085382E-5,3.0,1.572815534,57.54166977,0.30435282,6.98E-04,12,1.5728155339805825,57.54166976712289,0.30435282,6.984508742084346E-4
8,Archer  Bill,106.0,2,104,7.479431E-5,8.085382E-5,3.0,1.7799511,5.88368419,0.3243486,3.87E-04,16,1.7799511002444988,5.883684189679387,0.3243486,3.8732419832330464E-4
9,Armey  Richard K.,147.0,4,143,1.2465719E-4,1.0780509E-4,3.0,1.666666667,62.06864206,0.27895817,7.37E-04,4,1.6666666666666667,62.06864205566728,0.27895817,7.374763762006972E-4
10,Aspin  Les,109.0,0,109,0.0,2.6951273E-5,4.0,1.75990099,0,0.338685,0,16,1.75990099009901,0.0,0.338685,0.0
11,Atkins  Chester G.,280.0,5,275,1.4958862E-4,1.0780509E-4,3.0,1.325123153,50.08631902,0.29201227,9.03E-04,4,1.3251231527093597,50.08631902083694,0.29201227,9.032522716130281E-4
12,AuCoin  Les,151.0,6,145,1.7452007E-4,1.0780509E-4,3.0,1.660049628,17.89314706,0.32927153,0.001087638,14,1.6600496277915633,17.8931470620458,0.32927153,0.0010876383063093357
13,Badham  Robert E.,186.0,2,184,7.479431E-5,8.085382E-5,3.0,1.555555556,15.18103045,0.29732636,3.81E-04,12,1.5555555555555556,15.18103045298195,0.29732636,3.806423864168348E-4
14,Baker  Richard H.,123.0,1,122,4.9862876E-5,5.3902546E-5,3.0,1.724565757,2.776478608,0.270825,2.06E-04,2,1.7245657568238213,2.7764786079926185,0.270825,2.0613772644987165E-4
15,Ballenger  Cass,154.0,0,154,0.0,2.6951273E-5,3.0,1.640394089,0,0.29301417,0,2,1.6403940886699508,0.0,0.29301417,0.0
16,Barnard  Doug  Jr.,201.0,4,197,1.2465719E-4,8.085382E-5,3.0,1.51980198,26.21800369,0.2892786,7.16E-04,12,1.5198019801980198,26.21800369024593,0.2892786,7.155702224891975E-4
17,Bartlett  Steve,135.0,5,130,1.4958862E-4,1.6170763E-4,4.0,1.709677419,22.29649354,0.31431732,9.76E-04,6,1.7096774193548387,22.29649354149179,0.31431732,9.756440709166546E-4
18,Barton  Joe,106.0,9,97,2.4931438E-4,2.4256145E-4,4.0,1.798507463,28.90279766,0.30440253,0.00173953,4,1.7985074626865671,28.90279765683517,0.30440253,0.0017395299113185116
